,,
2.38113780905008,2.33735,2.41098
2.58673030930207,2.65034,2.55769
2.80218378721703,2.86134,2.78645
3.05205082433471,3.079,3.036769
3.35569984228797,3.366,3.29675
3.72971670004758,3.68053,3.625629
4.18377147865892,4.252,4.164295
4.70899736070115,4.60393,4.73056
5.25733876547007,5.19794,5.28018
5.71825907524883,5.73475649,5.68038
6.36187853747785,6.4085129,6.3585129
5.71825907524883,5.73475649,5.68038
5.25733876547005,5.19794,5.28018
4.70899736070113,4.60393,4.73056
4.18377147865891,4.252,4.164295
3.72971670004757,3.68053,3.625629
3.35569984228796,3.366,3.29675
3.05205082433471,3.079,3.036769
2.80218378721703,2.86134,2.78645
2.58673030930207,2.65034,2.55769
2.38113780905009,2.33735,2.41098
